x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40
0,0,0,1137,12923,83700,300869,701206,1077768,1172128,1127692,1354160,2044698,2710101,2847379,2531900,2364420,2705398,3140596,3133064,2787171,2411498,2386963,2831824,3162814,3380480,2980026,2107552,1181176,468820,140542,40681,7482,452,0,0,0,0,0,0
0,0,0,1480,11834,80203,294070,664771,1044155,1175588,1118478,1341424,1992133,2681261,2797355,2485677,2345003,2704520,3143777,3152455,2844477,2410345,2459812,2860731,3249938,3435611,3063063,2195548,1175389,525185,165051,35101,7489,2254,462,0,0,0,0,0
0,0,144,980,15955,78915,282052,654818,1034721,1127265,1078166,1316401,1953251,2644963,2754945,2465153,2368152,2702606,3170305,3161734,2804361,2424330,2527539,2926072,3356624,3483310,3167869,2242137,1258975,499409,175963,37243,8347,451,462,0,0,0,0,0
0,0,137,1758,13911,75983,275860,635935,1009099,1104231,1061103,1295048,1944070,2596761,2739615,2432160,2339396,2735299,3132514,3178677,2793183,2479461,2524378,2937910,3423576,3627647,3216744,2337637,1289185,547718,186695,39369,3957,1351,0,0,0,0,0,0
0,0,0,1082,12759,75302,274275,623663,976383,1075347,1041949,1269753,1935053,2565014,2709778,2443975,2300898,2700851,3144387,3198652,2759644,2469227,2575173,3016903,3473207,3652848,3368525,2437927,1344644,558541,163952,41524,7938,451,0,0,0,0,0,0
0,0,72,1328,11574,70027,259210,610635,938299,1049593,1008184,1249747,1895558,2572598,2677575,2401905,2298496,2672078,3215255,3151767,2785046,2473505,2585622,3068831,3585785,3803661,3441859,2470064,1368886,603403,180861,45739,7479,1356,0,0,0,0,0,0
0,0,0,1402,12809,69720,252762,589211,906856,1019909,989046,1201771,1857671,2524640,2604531,2362023,2295609,2698662,3155058,3159066,2904048,2537226,2650584,3075849,3614311,3981976,3533633,2553552,1396616,597038,212914,49202,13215,453,0,0,0,0,0,0
0,0,0,824,12444,66309,247331,565872,892497,980369,947744,1202814,1837584,2471348,2569993,2370193,2281942,2663310,3138748,3199319,2819543,2558240,2627828,3183244,3705764,4001663,3737088,2657192,1472549,641820,194852,56127,10544,3180,0,0,0,0,0,0
0,0,0,893,11797,65267,238726,565857,850308,922817,956758,1171934,1792672,2422157,2554747,2289996,2275958,2732927,3200270,3165811,2804531,2545982,2741006,3194428,3807591,4159927,3750755,2749000,1486542,645987,213729,50490,10576,898,464,0,0,0,0,0
0,0,0,992,10306,60816,226413,539563,851373,935481,940423,1165026,1776724,2377970,2505101,2232624,2260209,2696722,3182298,3182072,2824791,2577999,2727373,3243483,3867883,4174453,3901526,2811805,1591273,664066,214582,55702,11888,1810,0,0,0,0,0,0
0,0,143,475,10750,61008,224685,531375,811730,924087,901925,1149548,1780505,2336294,2483210,2299791,2253110,2649035,3151117,3199868,2792326,2585358,2756628,3293371,3911359,4267898,3910151,2894201,1623866,700707,234888,59984,8854,2260,0,0,0,0,0,0
0,0,69,999,8845,63135,227791,507301,796453,878657,895373,1102437,1692829,2293737,2466931,2241160,2270261,2665339,3150390,3109664,2773668,2577639,2779132,3366103,4043384,4418446,4135672,3018002,1677922,711409,217465,48821,9676,2260,0,0,0,0,0,0
0,0,74,486,8979,55687,217123,496275,764729,858034,847217,1117982,1722555,2289036,2436849,2181677,2197459,2639953,3123703,3150403,2769893,2605554,2821636,3392830,4189087,4495067,4212853,3046962,1685442,742572,245019,57809,12794,1802,462,0,0,0,0,0
0,0,139,598,9496,60187,214755,476026,737794,846429,837749,1073618,1655440,2221877,2371307,2140189,2199764,2635091,3151625,3177439,2853729,2604370,2812248,3491348,4196263,4623136,4305563,3135495,1778890,740655,251116,62077,7915,2261,0,0,0,0,0,0
0,0,134,1185,6896,54745,200208,467331,717941,798554,832210,1079588,1611942,2190613,2388785,2141396,2205561,2608866,3086957,3162275,2887442,2615941,2791172,3530950,4225815,4774309,4438582,3223449,1801266,742152,230801,75353,14111,2720,928,0,0,0,0,0
0,0,0,509,7856,52584,200258,459567,688292,806542,793644,1042000,1615677,2178514,2325097,2101884,2158016,2641362,3062911,3170866,2815759,2584213,2856813,3582858,4302485,4864012,4548647,3272792,1874974,809309,265167,60330,14079,2264,0,0,0,0,0,0
0,0,0,1001,8538,52159,188160,439428,669463,770469,767662,1021775,1596522,2123560,2268313,2101840,2133335,2633314,3089307,3160319,2847721,2616926,2921195,3602065,4480929,4896735,4589443,3408469,1871331,813871,267404,67158,12777,1820,459,0,0,0,0,0
0,0,144,909,8397,50119,194979,437952,666759,749607,757853,994874,1570577,2114280,2227888,2062068,2077886,2579237,3079346,3164281,2834078,2682903,2934537,3632137,4434597,5045338,4748309,3457243,1944538,825347,259551,68542,12308,1810,0,0,0,0,0,0
0,0,0,820,7548,48189,166963,422794,664736,739276,748041,988028,1535383,2082455,2213629,2016105,2117643,2520747,3099833,3087900,2800151,2625353,2900792,3711588,4526450,5160713,4851280,3554850,2019120,892891,281757,79669,13202,2264,0,0,0,0,0,0
0,0,65,749,5986,50107,170956,401726,634661,713919,726340,943644,1486586,2072657,2137042,2020097,2102977,2582325,3055470,3146597,2822673,2616345,2985838,3677386,4611185,5194693,4974095,3664581,2086466,879686,286571,63937,14986,2275,0,0,0,0,0,0
0,0,74,754,7454,45705,170547,389895,603779,679584,715003,939112,1456792,2001651,2150482,2020644,2073465,2485413,3023996,3127578,2859934,2666288,2979052,3733013,4662666,5290769,5100469,3772948,2184724,887416,298977,69361,10138,1809,464,0,0,0,0,0
0,0,0,399,7455,44605,156794,395889,603209,662351,682725,947355,1470399,1964838,2075972,1947436,2033376,2512062,3068246,3109917,2765977,2689050,3021434,3785858,4717455,5429529,5101488,3921600,2168670,914191,313159,71056,15406,2272,470,0,0,0,0,0
0,0,212,509,5762,44790,152752,376347,591161,661779,673929,900213,1451519,1942581,2100671,1919606,1991065,2500278,2969685,3064923,2797911,2705167,3021155,3821568,4819393,5505603,5272649,3960517,2235168,922409,319785,71477,11875,2718,463,0,0,0,0,0
0,0,0,824,6372,44723,160208,372143,551900,654560,652211,893153,1409078,1900153,2023068,1898390,1990359,2466883,3034309,3091962,2796569,2623881,3085790,3859519,4892638,5585080,5384526,4007139,2295651,956566,324728,67643,13613,898,0,0,0,0,0,0
0,0,69,742,6591,39122,149199,346715,554651,617922,657875,874581,1371303,1866492,1967196,1870909,2024463,2450411,2978220,3063253,2808342,2709813,2998907,3909674,4979980,5738440,5482138,4108133,2302550,996764,323088,84249,14064,3172,462,0,0,0,0,0
0,0,70,911,6588,40496,146330,337175,539484,608144,640147,866457,1362995,1814119,1996972,1882369,1934209,2410924,2934399,3029027,2796745,2681289,3036566,3952775,5030881,5887857,5506271,4183775,2406419,1043843,342278,72833,10117,1357,0,0,0,0,0,0
0,0,69,397,7548,37393,141472,322024,515977,581997,612294,856670,1330615,1786182,1929275,1816830,1974891,2447256,2916388,3027303,2790196,2651622,3112619,3943779,5025918,5925970,5761522,4295304,2433785,1081689,341165,92461,11014,2708,936,0,0,0,0,0
0,0,0,427,6535,36512,142109,327048,487296,566259,605610,836353,1309375,1757121,1892566,1780665,1889667,2411441,2936130,3016020,2752515,2705190,3115175,4040423,5190751,5978136,5861684,4299562,2477275,1086468,375243,92481,18929,2736,470,0,0,0,0,0
0,0,71,316,5219,36724,137533,309276,480834,552325,567913,791977,1290432,1755542,1873580,1822230,1874528,2404303,2853315,2988938,2792099,2663537,3130525,4008317,5258125,6114296,5913873,4452552,2570561,1088835,368883,89006,18039,3168,0,0,0,0,0,0
0,0,73,843,6325,39607,128443,301981,483067,546782,576612,766752,1270388,1722823,1836894,1747703,1881040,2393241,2907808,2980987,2682729,2658644,3054674,3971998,5353343,6220659,6103170,4503777,2645463,1136993,351831,99288,20209,5437,1402,0,486,0,0,0
0,0,72,909,6080,37871,131171,305813,470255,533546,557617,790035,1277510,1689615,1822627,1750634,1835315,2385662,2873674,2922012,2703624,2622683,3093668,4116141,5301127,6321565,6111615,4608102,2646414,1114277,361310,88177,17170,4517,463,0,0,0,0,0
0,0,72,826,6526,34514,122710,286043,459476,503738,540374,736471,1194915,1679883,1788335,1730173,1830049,2359857,2856231,2927581,2663301,2656259,3150238,4091114,5374068,6385899,6287995,4721297,2753766,1180431,398442,98850,25497,2262,461,474,0,0,0,0
0,0,0,168,4466,34016,122254,281855,442105,505578,518003,753666,1206873,1666909,1741510,1686075,1808517,2330595,2829372,2900848,2697224,2629183,3091568,4084231,5439694,6452940,6374602,4864089,2795042,1220882,396716,104107,18062,2704,0,0,0,0,0,0
0,0,0,572,4552,30244,121641,279364,420325,481587,516964,733793,1163920,1592540,1743991,1642621,1837695,2245474,2804219,2871031,2657813,2627004,3154581,4199157,5517105,6602040,6482908,4965422,2828376,1199654,401249,106439,15876,4058,0,0,0,0,0,0
0,0,0,407,5521,30928,115835,272175,423811,458516,517426,702028,1154795,1536861,1664099,1640431,1762956,2276565,2781298,2833340,2652330,2626383,3140193,4231911,5635203,6760120,6581452,5017883,2875142,1237636,425092,101111,19423,909,467,477,0,0,0,0
0,0,71,254,5188,31394,113891,256974,408704,462215,472488,688650,1136588,1538587,1614913,1650644,1754086,2266285,2737159,2863357,2635563,2682386,3159262,4140037,5689429,6741344,6717740,5120200,2963295,1277381,417105,97984,22928,3615,470,0,487,0,0,0
